Datum;Timestamp;Schlusskurs
04.09.2000;968025600;0.9
05.09.2000;968112000;0.8867
06.09.2000;968198400;0.8824
07.09.2000;968284800;0.8678
08.09.2000;968371200;0.8721
11.09.2000;968630400;0.8591
12.09.2000;968716800;0.8615
13.09.2000;968803200;0.8645
14.09.2000;968889600;0.8687
15.09.2000;968976000;0.8638
18.09.2000;969235200;0.8535
19.09.2000;969321600;0.8529
20.09.2000;969408000;0.8455
21.09.2000;969494400;0.8497
22.09.2000;969580800;0.87
25.09.2000;969840000;0.8782
26.09.2000;969926400;0.8775
27.09.2000;970012800;0.8841
28.09.2000;970099200;0.8848
29.09.2000;970185600;0.8801
02.10.2000;970444800;0.8827
03.10.2000;970531200;0.8827
04.10.2000;970617600;0.8749
05.10.2000;970704000;0.8725
06.10.2000;970790400;0.8727
09.10.2000;971049600;0.869
10.10.2000;971136000;0.8732
11.10.2000;971222400;0.8726
12.10.2000;971308800;0.8657
13.10.2000;971395200;0.8646
16.10.2000;971654400;0.8514
17.10.2000;971740800;0.8491
18.10.2000;971827200;0.853
19.10.2000;971913600;0.8424
20.10.2000;972000000;0.8454
23.10.2000;972259200;0.8383
24.10.2000;972345600;0.8351
25.10.2000;972432000;0.831
26.10.2000;972518400;0.8292
27.10.2000;972604800;0.8327
30.10.2000;972864000;0.85
31.10.2000;972950400;0.8404
01.11.2000;973036800;0.8553
02.11.2000;973123200;0.8656
03.11.2000;973209600;0.8735
06.11.2000;973468800;0.8672
07.11.2000;973555200;0.8595
08.11.2000;973641600;0.8555
09.11.2000;973728000;0.8518
10.11.2000;973814400;0.8637
13.11.2000;974073600;0.8617
14.11.2000;974160000;0.8584
15.11.2000;974246400;0.8603
16.11.2000;974332800;0.8572
17.11.2000;974419200;0.8529
20.11.2000;974678400;0.8495
21.11.2000;974764800;0.8484
22.11.2000;974851200;0.843
23.11.2000;974937600;0.8433
24.11.2000;975024000;0.8449
27.11.2000;975283200;0.8391
28.11.2000;975369600;0.8508
29.11.2000;975456000;0.8628
30.11.2000;975542400;0.8685
01.12.2000;975628800;0.8753
04.12.2000;975888000;0.8874
05.12.2000;975974400;0.8816
06.12.2000;976060800;0.8848
07.12.2000;976147200;0.8938
08.12.2000;976233600;0.8893
11.12.2000;976492800;0.8811
12.12.2000;976579200;0.8774
13.12.2000;976665600;0.8753
14.12.2000;976752000;0.8844
15.12.2000;976838400;0.8978
18.12.2000;977097600;0.8962
19.12.2000;977184000;0.8882
20.12.2000;977270400;0.9038
21.12.2000;977356800;0.9145
22.12.2000;977443200;0.9225
25.12.2000;977702400;0.9225
26.12.2000;977788800;0.9225
27.12.2000;977875200;0.9316
28.12.2000;977961600;0.9287
29.12.2000;978048000;0.9307
01.01.2001;978307200;0.9307
02.01.2001;978393600;0.9454
03.01.2001;978480000;0.9544
04.01.2001;978566400;0.9467
05.01.2001;978652800;0.9538
08.01.2001;978912000;0.9495
09.01.2001;978998400;0.9401
10.01.2001;979084800;0.9418
11.01.2001;979171200;0.9519
12.01.2001;979257600;0.9528
15.01.2001;979516800;0.9426
16.01.2001;979603200;0.9415
17.01.2001;979689600;0.938
18.01.2001;979776000;0.9421
19.01.2001;979862400;0.9419
22.01.2001;980121600;0.9304
23.01.2001;980208000;0.9412
24.01.2001;980294400;0.9295
25.01.2001;980380800;0.9142
26.01.2001;980467200;0.927
29.01.2001;980726400;0.9183
30.01.2001;980812800;0.9179
31.01.2001;980899200;0.93
01.02.2001;980985600;0.9413
02.02.2001;981072000;0.9402
05.02.2001;981331200;0.9413
06.02.2001;981417600;0.9345
07.02.2001;981504000;0.9313
08.02.2001;981590400;0.9221
09.02.2001;981676800;0.9233
12.02.2001;981936000;0.9279
13.02.2001;982022400;0.927
14.02.2001;982108800;0.919
15.02.2001;982195200;0.9084
16.02.2001;982281600;0.9126
19.02.2001;982540800;0.9227
20.02.2001;982627200;0.9093
21.02.2001;982713600;0.9145
22.02.2001;982800000;0.9066
23.02.2001;982886400;0.9055
26.02.2001;983145600;0.9082
27.02.2001;983232000;0.9144
28.02.2001;983318400;0.9242
01.03.2001;983404800;0.9267
02.03.2001;983491200;0.9362
05.03.2001;983750400;0.9309
06.03.2001;983836800;0.9264
07.03.2001;983923200;0.9325
08.03.2001;984009600;0.9311
09.03.2001;984096000;0.9342
12.03.2001;984355200;0.9282
13.03.2001;984441600;0.9217
14.03.2001;984528000;0.9164
15.03.2001;984614400;0.9083
16.03.2001;984700800;0.8954
19.03.2001;984960000;0.9005
20.03.2001;985046400;0.9012
21.03.2001;985132800;0.8988
22.03.2001;985219200;0.8901
23.03.2001;985305600;0.8946
26.03.2001;985564800;0.8931
27.03.2001;985651200;0.8956
28.03.2001;985737600;0.8864
29.03.2001;985824000;0.8861
30.03.2001;985910400;0.8818
02.04.2001;986169600;0.8782
03.04.2001;986256000;0.883
04.04.2001;986342400;0.8988
05.04.2001;986428800;0.9004
06.04.2001;986515200;0.896
09.04.2001;986774400;0.9016
10.04.2001;986860800;0.8946
11.04.2001;986947200;0.8884
12.04.2001;987033600;0.8849
13.04.2001;987120000;0.8849
16.04.2001;987379200;0.8849
17.04.2001;987465600;0.8788
18.04.2001;987552000;0.8795
19.04.2001;987638400;0.884
20.04.2001;987724800;0.8998
23.04.2001;987984000;0.9002
24.04.2001;988070400;0.8956
25.04.2001;988156800;0.8936
26.04.2001;988243200;0.8968
27.04.2001;988329600;0.9016
30.04.2001;988588800;0.8865
01.05.2001;988675200;0.8865
02.05.2001;988761600;0.8901
03.05.2001;988848000;0.89
04.05.2001;988934400;0.8922
07.05.2001;989193600;0.8928
08.05.2001;989280000;0.8868
09.05.2001;989366400;0.8815
10.05.2001;989452800;0.8862
11.05.2001;989539200;0.8762
14.05.2001;989798400;0.8744
15.05.2001;989884800;0.8776
16.05.2001;989971200;0.882
17.05.2001;990057600;0.8826
18.05.2001;990144000;0.877
21.05.2001;990403200;0.8743
22.05.2001;990489600;0.871
23.05.2001;990576000;0.8582
24.05.2001;990662400;0.8589
25.05.2001;990748800;0.8568
28.05.2001;991008000;0.8581
29.05.2001;991094400;0.8552
30.05.2001;991180800;0.8551
31.05.2001;991267200;0.8475
01.06.2001;991353600;0.8479
04.06.2001;991612800;0.854
05.06.2001;991699200;0.844
06.06.2001;991785600;0.8533
07.06.2001;991872000;0.8473
08.06.2001;991958400;0.8483
11.06.2001;992217600;0.8491
12.06.2001;992304000;0.8468
13.06.2001;992390400;0.8547
14.06.2001;992476800;0.8519
15.06.2001;992563200;0.8665
18.06.2001;992822400;0.8588
19.06.2001;992908800;0.8572
20.06.2001;992995200;0.8512
21.06.2001;993081600;0.8555
22.06.2001;993168000;0.8527
25.06.2001;993427200;0.861
26.06.2001;993513600;0.8616
27.06.2001;993600000;0.8632
28.06.2001;993686400;0.8632
29.06.2001;993772800;0.8632
02.07.2001;994032000;0.8471
03.07.2001;994118400;0.8468
04.07.2001;994204800;0.8444
05.07.2001;994291200;0.8419
06.07.2001;994377600;0.8394
09.07.2001;994636800;0.8457
10.07.2001;994723200;0.8534
11.07.2001;994809600;0.8612
12.07.2001;994896000;0.8539
13.07.2001;994982400;0.8555
16.07.2001;995241600;0.8574
17.07.2001;995328000;0.852
18.07.2001;995414400;0.8636
19.07.2001;995500800;0.8751
20.07.2001;995587200;0.8745
23.07.2001;995846400;0.8693
24.07.2001;995932800;0.871
25.07.2001;996019200;0.8752
26.07.2001;996105600;0.879
27.07.2001;996192000;0.8769
30.07.2001;996451200;0.8742
31.07.2001;996537600;0.8765
01.08.2001;996624000;0.881
02.08.2001;996710400;0.8825
03.08.2001;996796800;0.8802
06.08.2001;997056000;0.8811
07.08.2001;997142400;0.8758
08.08.2001;997228800;0.8745
09.08.2001;997315200;0.8852
10.08.2001;997401600;0.8941
13.08.2001;997660800;0.8986
14.08.2001;997747200;0.8955
15.08.2001;997833600;0.9108
16.08.2001;997920000;0.9155
17.08.2001;998006400;0.9153
20.08.2001;998265600;0.9148
21.08.2001;998352000;0.9135
22.08.2001;998438400;0.9228
23.08.2001;998524800;0.9108
24.08.2001;998611200;0.9113
27.08.2001;998870400;0.9111
28.08.2001;998956800;0.9045
29.08.2001;999043200;0.9127
30.08.2001;999129600;0.9093
31.08.2001;999216000;0.9174
03.09.2001;999475200;0.9078
04.09.2001;999561600;0.8979
05.09.2001;999648000;0.8905
06.09.2001;999734400;0.8877
07.09.2001;999820800;0.895
10.09.2001;1000080000;0.9055
11.09.2001;1000166400;0.8972
12.09.2001;1000252800;0.9055
13.09.2001;1000339200;0.907
14.09.2001;1000425600;0.9182
17.09.2001;1000684800;0.9302
18.09.2001;1000771200;0.9245
19.09.2001;1000857600;0.9276
20.09.2001;1000944000;0.9246
21.09.2001;1001030400;0.9204
24.09.2001;1001289600;0.9148
25.09.2001;1001376000;0.9168
26.09.2001;1001462400;0.9217
27.09.2001;1001548800;0.9202
28.09.2001;1001635200;0.9172
01.10.2001;1001894400;0.9117
02.10.2001;1001980800;0.9145
03.10.2001;1002067200;0.9207
04.10.2001;1002153600;0.9144
05.10.2001;1002240000;0.9176
08.10.2001;1002499200;0.9209
09.10.2001;1002585600;0.9208
10.10.2001;1002672000;0.9129
11.10.2001;1002758400;0.9058
12.10.2001;1002844800;0.903
15.10.2001;1003104000;0.9116
16.10.2001;1003190400;0.9039
17.10.2001;1003276800;0.9032
18.10.2001;1003363200;0.901
19.10.2001;1003449600;0.8995
22.10.2001;1003708800;0.8972
23.10.2001;1003795200;0.8873
24.10.2001;1003881600;0.8923
25.10.2001;1003968000;0.8905
26.10.2001;1004054400;0.893
29.10.2001;1004313600;0.8993
30.10.2001;1004400000;0.906
31.10.2001;1004486400;0.9056
01.11.2001;1004572800;0.9101
02.11.2001;1004659200;0.9046
05.11.2001;1004918400;0.8945
06.11.2001;1005004800;0.8969
07.11.2001;1005091200;0.9032
08.11.2001;1005177600;0.897
09.11.2001;1005264000;0.891
12.11.2001;1005523200;0.892
13.11.2001;1005609600;0.8845
14.11.2001;1005696000;0.8786
15.11.2001;1005782400;0.8834
16.11.2001;1005868800;0.8837
19.11.2001;1006128000;0.8789
20.11.2001;1006214400;0.8827
21.11.2001;1006300800;0.8789
22.11.2001;1006387200;0.877
23.11.2001;1006473600;0.879
26.11.2001;1006732800;0.8815
27.11.2001;1006819200;0.877
28.11.2001;1006905600;0.8827
29.11.2001;1006992000;0.8894
30.11.2001;1007078400;0.8898
03.12.2001;1007337600;0.8928
04.12.2001;1007424000;0.8906
05.12.2001;1007510400;0.8923
06.12.2001;1007596800;0.8879
07.12.2001;1007683200;0.8924
10.12.2001;1007942400;0.8902
11.12.2001;1008028800;0.8917
12.12.2001;1008115200;0.895
13.12.2001;1008201600;0.8974
14.12.2001;1008288000;0.9016
17.12.2001;1008547200;0.9071
18.12.2001;1008633600;0.9032
19.12.2001;1008720000;0.8995
